pick 'n' mix

army of

crowds of

stock of

swarm of

cargo of

clump of

scads of

wad of

batch of

swag of

tons of

bags of

heap of

stacks of

mass of

ton of

bundle of

hunk of

gobs of

store of

load of

stack of

bulk of

horde of

stash of

no end of

lump of

slew of

reams of

wealth of

bunch of

loads of

much of

plenty of

heaps of

lot of

range of

no few

all kind of.

too varied

well varied

of all kinds

all type of

varied so

species rich

all sort of

vast number

pick and mix

big number
