like

rare

few

one

lone

same

sole

flat

neat

pure

branch

finite

little

numbered

facile

uni

plenty of

none of

alike

alone

distinct

only

unmixed

special

changeless

congruent

equal

level

sheer

simple

single

stable

limited

unique

distinctive

separate

unvaried

singular

coincident

concordant

congruous

consistent

equable

logical

orderly

similar

symmetric

unchanging

uniform

uniformed
