strange

weird

creative

spectral

dream-filled

dreadful

frightful

ghastly

gruesome

shocking

irreal

wondrous

pretend

far out

hazy

ghostly

distrait

wistful

astral

calming

lulling

misty

musing

pensive

soothing

vague

freakish

dreamlike

airy

false

fancied

phantom

unreal

moony

dreamy

surreal

eccentric

grotesque

hideous

horrible

horrific

not real world

unrealest

enchanted

mittyesque

spellbinding

bewitching

transcendent

enchanting

magical
