plain

real

true

concrete

common

commonplace

dreadful

normal

realist

existent

existing

physical

actual

factual

natural

palpable

practical

regular

substantial

tangible

usual

very true

realistic

conventional

customary

everyday

ordinary

reasonable

unromantic

on an even keel

unimaginary
