far out

not real world

surreal kind

far away

most chimeral

most phantasmic

without reality

unreal rhyming word

something unreal

queer as a nine bob note

queer as a clockwork orange

existing in imagination

as queer as a clockwork orange

as queer as a nine bob note

existing only in the imagination
