whiles

weird

vexed

split

seek

rum

quirk

manage

hap

find

droll

hugely

cruel

odd

strange

rumly

even

snoopedly

langely

halfway

lightly

oddsly

absorbed

engrossed

spellbound

who knew

naively

childedly

shrewdly

meddledly

bravely

probing

snooping

boldly

keenly

raptly

sort of

archly

askance

askant

drily

guardedly

loathly

lothly

puzzledly

shily

slowly

vexedly

with doubt

wrily
